Games: 3210, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46888, Epsilon: 0.008
Games: 3211, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46897, Epsilon: 0.008
Games: 3212, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46907, Epsilon: 0.008
Games: 3213, AI: 9, Random: 1, Percentage: 90, Reward: 10, Steps: 46917, Epsilon: 0.008
Games: 3214, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46928, Epsilon: 0.008
Games: 3215, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 46938, Epsilon: 0.008
Games: 3216, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46949, Epsilon: 0.008
Games: 3217, AI: 9, Random: 1, Percentage: 90, Reward: 10, Steps: 46959, Epsilon: 0.008
Games: 3218, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 46970, Epsilon: 0.008
Games: 3219, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 46982, Epsilon: 0.008
Games: 3220, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 46991, Epsilon: 0.008
Games: 3221, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47001, Epsilon: 0.008
Games: 3222, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47012, Epsilon: 0.008
Games: 3223, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47024, Epsilon: 0.008
Games: 3224, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47033, Epsilon: 0.008
Games: 3225, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47043, Epsilon: 0.008
Games: 3226, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47052, Epsilon: 0.008
Games: 3227, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47063, Epsilon: 0.008
Games: 3228, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47075, Epsilon: 0.008
Games: 3229, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47087, Epsilon: 0.008
Games: 3230, AI: 13, Random: 1, Percentage: 93, Reward: 14, Steps: 47101, Epsilon: 0.008
Games: 3231, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47112, Epsilon: 0.008
Games: 3232, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47122, Epsilon: 0.008
Games: 3233, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47132, Epsilon: 0.008
Games: 3234, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47143, Epsilon: 0.008
Games: 3235, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 47156, Epsilon: 0.008
Games: 3236, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47168, Epsilon: 0.008
Games: 3237, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47180, Epsilon: 0.008
Games: 3238, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47189, Epsilon: 0.008
Games: 3239, AI: 9, Random: 1, Percentage: 90, Reward: 10, Steps: 47199, Epsilon: 0.008
Games: 3240, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47211, Epsilon: 0.008
Games: 3241, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47221, Epsilon: 0.008
Games: 3242, AI: 10, Random: 1, Percentage: 91, Reward: 11, Steps: 47232, Epsilon: 0.008
Games: 3243, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47243, Epsilon: 0.008
Games: 3244, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47252, Epsilon: 0.008
Games: 3245, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47261, Epsilon: 0.008
Games: 3246, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47272, Epsilon: 0.008
Games: 3247, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47281, Epsilon: 0.008
Games: 3248, AI: 9, Random: 1, Percentage: 90, Reward: 10, Steps: 47291, Epsilon: 0.008
Games: 3249, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47300, Epsilon: 0.008
Games: 3250, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47312, Epsilon: 0.008
Games: 3251, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47322, Epsilon: 0.008
Games: 3252, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47332, Epsilon: 0.008
Games: 3253, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47342, Epsilon: 0.008
Games: 3254, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47351, Epsilon: 0.008
Games: 3255, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47360, Epsilon: 0.008
Games: 3256, AI: 8, Random: 1, Percentage: 89, Reward: 9, Steps: 47369, Epsilon: 0.008
Games: 3257, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47379, Epsilon: 0.008
Games: 3258, AI: 8, Random: 0, Percentage: 100, Reward: 8, Steps: 47387, Epsilon: 0.008
Games: 3259, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47397, Epsilon: 0.008
Games: 3260, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47409, Epsilon: 0.008
Games: 3261, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47420, Epsilon: 0.008
Games: 3262, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47431, Epsilon: 0.008
Games: 3263, AI: 13, Random: 0, Percentage: 100, Reward: 13, Steps: 47444, Epsilon: 0.008
Games: 3264, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47455, Epsilon: 0.008
Games: 3265, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47465, Epsilon: 0.008
Games: 3266, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47476, Epsilon: 0.008
Games: 3267, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47487, Epsilon: 0.008
Games: 3268, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47496, Epsilon: 0.008
Games: 3269, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47507, Epsilon: 0.008
Games: 3270, AI: 9, Random: 0, Percentage: 100, Reward: 9, Steps: 47516, Epsilon: 0.008
Games: 3271, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47526, Epsilon: 0.008
Games: 3272, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47537, Epsilon: 0.008
Games: 3273, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47548, Epsilon: 0.008
Games: 3274, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47559, Epsilon: 0.008
Games: 3275, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47570, Epsilon: 0.008
Games: 3276, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47580, Epsilon: 0.008
Games: 3277, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47590, Epsilon: 0.008
Games: 3278, AI: 11, Random: 1, Percentage: 92, Reward: 12, Steps: 47602, Epsilon: 0.008
Games: 3279, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47612, Epsilon: 0.008
Games: 3280, AI: 12, Random: 0, Percentage: 100, Reward: 12, Steps: 47624, Epsilon: 0.008
Games: 3281, AI: 11, Random: 0, Percentage: 100, Reward: 11, Steps: 47635, Epsilon: 0.008
Games: 3282, AI: 10, Random: 0, Percentage: 100, Reward: 10, Steps: 47645, Epsilon: 0.008
